Epoch,Before Cost,After Cost
"[398, 208683.50036621094, 144299.73403930664]"
"[399, 220180.28912353516, 153690.79064941406]"
"[400, 216672.4653930664, 153400.96868896484]"
"[401, 219312.9584350586, 153305.74615478516]"
"[402, 229058.85858154297, 159301.7266845703]"
"[403, 220050.1875, 156471.92999267578]"
"[404, 223519.73712158203, 154833.76208496094]"
"[405, 218418.19592285156, 151589.4027709961]"
"[406, 217361.77020263672, 148941.12741088867]"
"[407, 219600.52716064453, 155093.1094970703]"
"[408, 225902.90307617188, 156034.0029296875]"
"[409, 211357.54345703125, 146156.44555664062]"
"[410, 215958.35083007812, 152131.26300048828]"
"[411, 213423.8094482422, 150746.27764892578]"
"[412, 217606.3662109375, 150638.38800048828]"
"[413, 222153.68493652344, 153357.37231445312]"
"[414, 222301.61865234375, 155315.3921508789]"
"[415, 224880.44287109375, 156339.7935180664]"
"[416, 222052.74938964844, 153853.4462890625]"
"[417, 223766.87908935547, 154242.5835571289]"
"[418, 216779.6753540039, 148274.6522216797]"
"[419, 214074.4535522461, 148816.09350585938]"
"[420, 223337.7109375, 159643.90979003906]"
"[421, 224060.9210205078, 157827.4437866211]"
"[422, 219650.47705078125, 153736.6739501953]"
"[423, 215649.48223876953, 151203.37799072266]"
"[424, 223056.10083007812, 154587.98919677734]"
"[425, 218219.48077392578, 151245.61865234375]"
"[426, 215346.21453857422, 149949.87280273438]"
"[427, 213351.5391845703, 148635.54412841797]"
"[428, 212775.759765625, 147150.73678588867]"
"[429, 214258.2113647461, 148352.59176635742]"
"[430, 221464.27734375, 154386.54971313477]"
"[431, 220847.28717041016, 153540.14141845703]"
"[432, 221586.1776123047, 153834.5444946289]"
"[433, 228399.6904296875, 161178.95989990234]"
"[434, 215523.51336669922, 150873.95892333984]"
"[435, 217119.6474609375, 152804.6339111328]"
"[436, 219803.67181396484, 150665.51306152344]"
"[437, 219321.27758789062, 153861.62963867188]"
"[438, 220933.169921875, 156285.01037597656]"
"[439, 220437.06842041016, 154303.36267089844]"
"[440, 214213.8314819336, 147561.86807250977]"
"[441, 223363.97998046875, 156100.98388671875]"
"[442, 217976.77423095703, 153463.9697265625]"
"[443, 213205.69024658203, 147921.86682128906]"
"[444, 223196.11932373047, 155759.7362060547]"
"[445, 209669.44830322266, 145960.87182617188]"
"[446, 219496.1583251953, 151382.6025390625]"
"[447, 219524.4496459961, 152905.74340820312]"
"[448, 225192.3251953125, 155354.21160888672]"
"[449, 217003.55517578125, 151618.09356689453]"
"[450, 214108.55963134766, 150525.40979003906]"
"[451, 218565.86883544922, 152116.01623535156]"
"[452, 208304.17407226562, 143245.3713684082]"
"[453, 224087.09454345703, 154083.26171875]"
"[454, 229405.92852783203, 157702.11260986328]"
"[455, 219965.466796875, 153846.7738647461]"
"[456, 212955.89544677734, 149390.85662841797]"
"[457, 214205.42553710938, 149294.33279418945]"
"[458, 216572.3251953125, 149625.2603149414]"
"[459, 221309.70343017578, 156165.07818603516]"
"[460, 225884.43463134766, 158089.97344970703]"
"[461, 223378.00225830078, 155114.7030029297]"
"[462, 226054.65075683594, 155609.30206298828]"
"[463, 217232.66174316406, 152738.4197998047]"
"[464, 219499.32708740234, 151575.3009033203]"
"[465, 219867.9259033203, 153731.68716430664]"
"[466, 221535.05004882812, 154131.32385253906]"
"[467, 213943.37744140625, 150261.48379516602]"
"[468, 218885.0509033203, 152857.14056396484]"
"[469, 222282.86517333984, 152888.05520629883]"
"[470, 216317.01251220703, 151579.3681640625]"
"[471, 223045.37188720703, 154437.7618713379]"
"[472, 224525.43530273438, 155979.0551147461]"
"[473, 229929.67681884766, 158853.59814453125]"
"[474, 225551.6655883789, 157795.58184814453]"
"[475, 215073.54608154297, 151763.7725830078]"
"[476, 217968.38708496094, 151391.46026611328]"
"[477, 230160.92669677734, 160040.09552001953]"
"[478, 222761.2744140625, 153514.09567260742]"
"[479, 222650.11853027344, 153858.2177734375]"
"[480, 217883.52349853516, 152900.66723632812]"
"[481, 210047.2465209961, 143631.90090942383]"
"[482, 226079.58544921875, 158282.6124267578]"
"[483, 213553.06982421875, 149206.89431762695]"
"[484, 219732.63208007812, 153795.99127197266]"
"[485, 222102.97442626953, 154932.49548339844]"
"[486, 220397.51336669922, 153482.2305908203]"
"[487, 215725.89416503906, 148771.91955566406]"
"[488, 215935.04412841797, 150279.65496826172]"
"[489, 215337.86071777344, 150118.8748779297]"
"[490, 212578.9190673828, 147760.16583251953]"
"[491, 221097.00860595703, 155011.69354248047]"
"[492, 210286.2431640625, 146770.32885742188]"
"[493, 214413.16571044922, 146777.29302978516]"
"[494, 217447.01989746094, 149681.5987548828]"
"[495, 213197.99548339844, 149725.50469970703]"
"[496, 222336.1619873047, 156534.9237060547]"
"[497, 217237.732421875, 148772.30114746094]"
"[498, 207255.18572998047, 146067.5883178711]"
"[499, 217564.72161865234, 151982.6063232422]"
"[500, 219439.47955322266, 154445.2510986328]"
"[501, 207444.85760498047, 144693.13619995117]"
"[502, 218640.60125732422, 150429.17041015625]"
"[503, 217342.9946899414, 152484.5994873047]"
"[504, 220087.6099243164, 154134.30911254883]"
"[505, 214087.98266601562, 148715.6934814453]"
"[506, 214250.0908203125, 148869.78411865234]"
"[507, 212514.0396118164, 148173.33651733398]"
"[508, 215833.5785522461, 149466.10205078125]"
"[509, 216775.26104736328, 152228.6427001953]"
"[510, 224207.05792236328, 157019.1630859375]"
"[511, 212724.05584716797, 147227.56030273438]"
"[512, 222971.63134765625, 151646.92419433594]"
"[513, 223689.98291015625, 155403.0157470703]"
"[514, 228999.37872314453, 159140.0280456543]"
"[515, 215075.6268310547, 150251.55627441406]"
"[516, 219153.22760009766, 152261.51153564453]"
"[517, 217030.89483642578, 149435.79620361328]"
"[518, 212140.43243408203, 146631.67428588867]"
"[519, 222343.55682373047, 153280.0888671875]"
"[520, 214569.63555908203, 148835.88143920898]"
"[521, 218851.25634765625, 153330.3901977539]"
"[522, 210179.18780517578, 146339.05145263672]"
"[523, 220826.43408203125, 152024.66241455078]"
"[524, 217431.74505615234, 149721.5108642578]"
"[525, 214887.64947509766, 147101.5340576172]"
"[526, 207744.30981445312, 145289.26007080078]"
"[527, 220078.60998535156, 155294.33880615234]"
"[528, 213727.40881347656, 149625.5653076172]"
"[529, 217618.9708251953, 150841.61569213867]"
"[530, 222836.69177246094, 152947.24353027344]"
"[531, 229967.20281982422, 160548.5244140625]"
"[532, 215109.84112548828, 147375.77056884766]"
"[533, 214428.9151611328, 149832.82275390625]"
"[534, 222273.5687866211, 154572.5147705078]"
"[535, 221075.1986694336, 154132.53463745117]"
"[536, 210987.06909179688, 149770.2012939453]"
"[537, 215848.81213378906, 149968.79260253906]"
"[538, 220610.26513671875, 153912.97784423828]"
"[539, 219144.06274414062, 154725.89324951172]"
"[540, 214054.2989501953, 151857.78228759766]"
"[541, 215382.1558227539, 148705.66723632812]"
"[542, 221810.3984375, 153888.34771728516]"
"[543, 220374.2241821289, 151189.90783691406]"
"[544, 219660.8651123047, 151528.30841064453]"
"[545, 225453.19592285156, 156653.0728149414]"
"[546, 219530.20611572266, 151479.03833007812]"
"[547, 225057.1983642578, 152912.18530273438]"
"[548, 213133.07055664062, 149761.1773071289]"
"[549, 223282.81646728516, 154247.3253173828]"
"[550, 225637.9536743164, 157267.61486816406]"
"[551, 230330.17388916016, 162221.87237548828]"
"[552, 220629.88873291016, 153959.4893798828]"
"[553, 212268.2940673828, 148250.14517211914]"
"[554, 218409.86981201172, 149431.9223022461]"
"[555, 220159.6441040039, 152829.8989868164]"
"[556, 224990.31463623047, 155258.07330322266]"
"[557, 221920.76531982422, 154484.30499267578]"
"[558, 224650.28436279297, 156865.1600341797]"
"[559, 217416.34765625, 151759.2684326172]"
"[560, 219712.90594482422, 153689.2491455078]"
"[561, 223264.95501708984, 154825.83129882812]"
"[562, 212583.9267578125, 147563.55889892578]"
"[563, 219455.9224243164, 154318.93841552734]"
"[564, 218314.09490966797, 151770.62051391602]"
"[565, 217564.95654296875, 151259.98107910156]"
"[566, 215434.82836914062, 150113.37091064453]"
"[567, 217994.47009277344, 151935.4395751953]"
"[568, 221169.529296875, 155837.9086303711]"
"[569, 210915.45013427734, 147631.25360107422]"
"[570, 213106.30450439453, 148952.06991577148]"
"[571, 207796.8828125, 143050.1533203125]"
"[572, 224470.12438964844, 156454.28344726562]"
"[573, 219650.37524414062, 152388.26373291016]"
"[574, 213577.1815185547, 148542.09356689453]"
"[575, 218160.19635009766, 152325.26690673828]"
"[576, 219999.458984375, 151333.38912963867]"
"[577, 216218.94091796875, 152283.66967773438]"
"[578, 214124.7525024414, 150923.8530883789]"
"[579, 214594.52166748047, 149154.59564208984]"
"[580, 225903.365234375, 159981.26599121094]"
