Epoch,Before Cost,After Cost
"[674, 288728.84375, 193359.90625]"
"[675, 181821.171875, 106200.2265625]"
"[676, 149478.140625, 85955.1015625]"
"[677, 348165.90625, 249487.921875]"
"[678, 123865.4609375, 75753.125]"
"[679, 178423.453125, 118241.9140625]"
"[680, 199101.46875, 103663.4609375]"
"[681, 188007.515625, 133428.125]"
"[682, 204913.25, 115813.546875]"
"[683, 133139.625, 84031.8046875]"
"[684, 292444.6875, 176581.359375]"
"[685, 222923.0, 120909.84375]"
"[686, 210998.984375, 145088.78125]"
"[687, 267751.6875, 131342.953125]"
"[688, 156838.703125, 118544.0546875]"
"[689, 197413.859375, 148572.65625]"
"[690, 188583.0625, 127958.515625]"
"[691, 312295.40625, 183228.28125]"
"[692, 250420.5625, 186749.65625]"
"[693, 181439.953125, 129210.9609375]"
"[694, 189012.625, 138124.0625]"
"[695, 295753.84375, 227378.953125]"
"[696, 226220.59375, 130696.8203125]"
"[697, 167384.296875, 99371.1171875]"
